CODLOC,NOMLOC,NOMALTER,codigo_provincia_id
20002,"Ciudad Autónoma de Buenos Aires",NULL,2
60002,"San Miguel"," Est. Gral. Sarmiento",6
60004,Morón,NULL,6
60006,"Lomas de Zamora",NULL,6
60008,Quilmes,NULL,6
60010,Lanús,NULL,6
60012,"General San Martín","Est. San Martín",6
60014,Caseros,NULL,6
60016,Avellaneda,NULL,6
60018,"San Isidro",NULL,6
60020,Olivos,NULL,6
60022,"San Justo",Matanza,6
60024,"Almirante Brown",Adrogué,6
60026,Merlo,NULL,6
60028,Moreno,NULL,6
60030,"Monte Grande",NULL,6
60032,Tigre,NULL,6
60034,"Florencio Varela",NULL,6
60036,Berazategui,NULL,6
60038,"San Fernando",NULL,6
60040,"Belén de Escobar",NULL,6
60042,Pilar,NULL,6
60044,"San Vicente",NULL,6
60046,"General Rodríguez",NULL,6
60048,"Marcos Paz",NULL,6
60054,"La Plata",NULL,6
60056,Berisso,NULL,6
60058,Ensenada,NULL,6
60060,"Mar del Plata",NULL,6
60062,"Bahía Blanca",NULL,6
60064,"San Nicolás de los Arroyos",NULL,6
60066,Tandil,NULL,6
60068,Pergamino,NULL,6
60070,Zárate,NULL,6
60072,Necochea,NULL,6
60074,Olavarría,NULL,6
60076,Junín,NULL,6
60078,Campana,NULL,6
60080,Luján,NULL,6
60082,"Punta Alta","Coronel Rosales, Est. Almirante Solier",6
60084,Chivilcoy,NULL,6
60086,Azul,NULL,6
60088,Mercedes,NULL,6
60090,"Tres Arroyos",NULL,6
60092,"San Pedro",NULL,6
60094,Balcarce,NULL,6
60096,Chacabuco,NULL,6
60098,Bragado,NULL,6
60100,Pehuajó,NULL,6
60102,"9 de Julio",NULL,6
60104,Chascomús,NULL,6
60106,"Trenque Lauquen",NULL,6
60108,Lincoln,NULL,6
60110,Lobos,NULL,6
60112,Baradero,NULL,6
60114,"San Carlos de Bolívar","Est. Bolívar, Bolívar",6
60116,Dolores,NULL,6
60118,Arrecifes,"Bartolomé Mitre",6
60120,Salto,"Marcelino Ugarte",6
60122,"25 de Mayo",NULL,6
60124,"Coronel Suárez",NULL,6
60126,Miramar,NULL,6
60128,"Coronel Pringles","Est. Pringles",6
60130,Saladillo,NULL,6
60132,Cañuelas,NULL,6
60134,Colón,NULL,6
60136,"Las Flores",NULL,6
60139,"Carmen de Patagones",NULL,6
60140,Rojas,NULL,6
60142,"Mar de Ajó",NULL,6
60144,"San Antonio de Areco",NULL,6
60146,"Villa Gesell",NULL,6
60148,"Carlos Casares",NULL,6
60150,"General Madariaga",NULL,6
60152,Ayacucho,NULL,6
60154,"Benito Juárez",NULL,6
60156,"General Villegas","Est. General Villegas",6
60158,"Coronel Brandsen","Brandsen, 1914 Ferrari",6
60160,Pigüé,NULL,6
60162,"Los Toldos","General Viamonte",6
60164,"Santa Teresita",NULL,6
60166,"General Belgrano",NULL,6
