id,Codigo,Descripción,Codigo_id,Region_id
1,18,"CORRIENTES                                         ",1800,1
2,22,"CHACO                                              ",1800,1
3,34,"FORMOSA                                            ",1800,1
4,54,"MISIONES                                           ",1800,1
5,10,"CATAMARCA                                          ",1801,2
6,38,"JUJUY                                              ",1801,2
7,66,"SALTA                                              ",1801,2
8,86,"SANTIAGO DEL ESTERO                                ",1801,2
9,90,"TUCUMAN                                            ",1801,2
10,26,"CHUBUT                                            ",1802,3
11,42,"LA PAMPA                                          ",1802,3
12,58,"NEUQUEN                                           ",1802,3
13,62,"RIO NEGRO                                         ",1802,3
14,78,"SANTA CRUZ                                        ",1802,3
15,94,"T. DEL FUEGO ANT. E ISLAS DEL AT                  ",1802,3
16,46,"LA RIOJA                                          ",1803,4
17,50,"MENDOZA                                           ",1803,4
18,70,"SAN JUAN                                          ",1803,4
19,74,"SAN LUIS                                          ",1803,4
20,2,"CIUDAD AUTONOMA DE BUENOS AIRES                    ",1804,5
21,6,"BUENOS AIRES                                       ",1804,5
22,14,"CORDOBA                                           ",1805,6
23,30,"ENTRE RIOS                                        ",1805,6
24,82,"SANTA FE                                          ",1805,6
